"regId","schoolId","SchoolName","catShort","catIdx","entryTitle","inContest","earliestStart","latestEnd"
6962,613,"GMG 9TH","EA",1,"Missy and the Guardian Angel","X",,
6962,613,"GMG 9TH","RB",1,"KBP 1147","X",,
6962,613,"GMG 9TH","GI",1,"Casto/Krier","X",,
6965,612,"GMG","EA",1,"Dinner Plans","X",,
6965,612,"GMG","EA",2,"I'm Herbert","X",,
6965,612,"GMG","EA",3,"Hippies, Housewives and Watering Holes","X",,
6965,612,"GMG","RB",1,"WLS 105.5","X",,
6965,612,"GMG","RB",2,"WMZR 108.2","X",,
6965,612,"GMG","GI",1,"Sederburg","X",,
6965,612,"GMG","MT",1,"Mama Mia","X",,
6965,612,"GMG","GM",1,"Picnic with A Twist","X",,
6968,722,"MONTEZUMA 9TH","RT",1,"10 Reasons You Should Have Stayed Home Sick Today","X",,
6968,722,"MONTEZUMA 9TH","GI",1,"Shoemaker","X",,
6979,757,"NORTH TAMA","GI",1,"Kopriva","X",,
6998,721,"MONTEZUMA","EA",1,"Status Update","X",,830
6998,721,"MONTEZUMA","EA",2,"Ticket Rippers","X",,
6998,721,"MONTEZUMA","SF",1,"Stuck in a Romantic Comedy","X",,
6998,721,"MONTEZUMA","SF",2,"Comic-Con Chronicles","X",,
6998,721,"MONTEZUMA","GI",1,"Shaver","X",,
6998,721,"MONTEZUMA","GI",2,"Bushong","X",,
6998,721,"MONTEZUMA","GI",3,"Crain","X",,
6998,721,"MONTEZUMA","MT",1,"Into the Woods:  Agony","X",,
6998,721,"MONTEZUMA","MT",2,"Hairspray: Without Love/...Can't Stop Beat","X",,
6998,721,"MONTEZUMA","MT",3,"Little Women","X",,
6998,721,"MONTEZUMA","CR",1,"Wait For Me","X",,1000
7000,1023,"IOWA VALLEY 9TH","RB",1,"KMBN","X",,
7011,580,"ENGLISH VALLEYS","TV",1,"A2Z","X",,
7011,580,"ENGLISH VALLEYS","SF",1,"Familiar","X",,
7011,580,"ENGLISH VALLEYS","SF",2,"Choices","X",,
7011,580,"ENGLISH VALLEYS","GI",1,"Kinzler","X",,
7011,580,"ENGLISH VALLEYS","GI",2,"Barney","X",,
7011,580,"ENGLISH VALLEYS","GI",3,"Higdone","X",,
7014,1044,"ENGLISH VALLEYS 9TH","SF",1,"The Sad Truth","X",,
7017,652,"IOWA VALLEY","EA",1,"Native Speaker","X",,
7017,652,"IOWA VALLEY","RT",1,"The Necklace","X",,
7017,652,"IOWA VALLEY","SF",1,"Alone","X",,
7017,652,"IOWA VALLEY","SF",2,"The Power of Choice","X",,
7017,652,"IOWA VALLEY","GI",1,"Hall et al","X",,
7017,652,"IOWA VALLEY","CR",1,"Iowa","X",,
7017,652,"IOWA VALLEY","GM",1,"Jensen","X",,
7018,937,"WILLIAMSBURG","SF",1,"Rules","X",,1000
7018,937,"WILLIAMSBURG","GI",1,"Emmert","X",,
7018,937,"WILLIAMSBURG","GI",2,"Lindhart","X",,830
7018,937,"WILLIAMSBURG","GI",3,"Dovre","X",,
7018,937,"WILLIAMSBURG","MT",1,"Mamma Mia","X",,
7018,937,"WILLIAMSBURG","OA",1,"Baby","X",,1000
7018,937,"WILLIAMSBURG","SM",1,"Journey to the Unknown...EARTH","X",,1000
7043,950,"WILLIAMSBURG 9TH","EA",1,"Not So Grimm Tales:  Little Red Riding Hood","X",,
7043,950,"WILLIAMSBURG 9TH","EA",2,"Not So Grimm Tales:  Cinderella","X",,900
7043,950,"WILLIAMSBURG 9TH","TV",1,"WOW","X",,900
7043,950,"WILLIAMSBURG 9TH","RB",1,"Unknown","X",,900
7046,449,"BENTON COMMUNITY","EA",1,"Waiting For Godot","X",,
7046,449,"BENTON COMMUNITY","EA",2,"The Effect of Gamma Rays on Man-in-the-Moon Marigolds","X",,
7046,449,"BENTON COMMUNITY","EA",3,"Brights","X",,
7046,449,"BENTON COMMUNITY","RT",1,"Crushed","X",,
7046,449,"BENTON COMMUNITY","SF",1,"Equos Noctis","X",,
7046,449,"BENTON COMMUNITY","SF",2,"In Dreams","X",,
7046,449,"BENTON COMMUNITY","RB",1,"RANT","X",,
7046,449,"BENTON COMMUNITY","RB",2,"KNET","X",,
7046,449,"BENTON COMMUNITY","GM",1,"Into the Woods","X",,
7066,741,"NEWTON","EA",1,"Hippies, Housewives and Watering Holes","X",,
7066,741,"NEWTON","RT",1,"Fairytale Mystery Theater","X",,
7066,741,"NEWTON","TV",1,"EBN","X",,
7066,741,"NEWTON","TV",2,"T3","X",,
7066,741,"NEWTON","SF",1,"Superhero Gone Bad","X",,
7066,741,"NEWTON","RB",1,"CRZY","X",,
7066,741,"NEWTON","GI",1,"Eadens","X",,
7066,741,"NEWTON","GI",2,"Fuller","X",,
7066,741,"NEWTON","GI",3,"Urbanowicz","X",,
7066,741,"NEWTON","MT",1,"Band Geeks","X",,
7066,741,"NEWTON","MT",2,"Guys and Dolls","X",,
7066,741,"NEWTON","GM",1,"TBA","X",,
7145,633,"HLV","GI",1,"Dentel","X",,
7145,633,"HLV","GI",2,"Andrews","X",,
7145,633,"HLV","GI",3,"Jones","X",,
7164,891,"VINTON-SHELLSBURG","EA",1,"Sorry","X",,
7164,891,"VINTON-SHELLSBURG","RT",1,"Beyond the Fairy Tale","X",,
7164,891,"VINTON-SHELLSBURG","SF",1,"TBA","X",,
7164,891,"VINTON-SHELLSBURG","SF",2,"TBA","X",,
7164,891,"VINTON-SHELLSBURG","RB",1,"Unknown","X",,
7164,891,"VINTON-SHELLSBURG","GI",1,"Noren","X",,
7164,891,"VINTON-SHELLSBURG","GI",2,"Reisch","X",,
7164,891,"VINTON-SHELLSBURG","GI",3,"Blix","X",,
7164,891,"VINTON-SHELLSBURG","MT",1,"80's Chill","X",,
7164,891,"VINTON-SHELLSBURG","CR",1,"Will Power","X",,
7164,891,"VINTON-SHELLSBURG","OA",1,"The Smell of the Kill","X",,
7164,891,"VINTON-SHELLSBURG","GM",1,"TBA","X",,
7171,892,"VINTON-SHELLSBURG 9TH","GI",1,"Gordon","X",,
7171,892,"VINTON-SHELLSBURG 9TH","MT",1,"Chitty Chitty Bang Bang","X",,
7171,892,"VINTON-SHELLSBURG 9TH","CR",1,"Ode to Cats","X",,
7178,705,"MARSHALLTOWN 9TH","TV",1,"VN09","X",,
7178,705,"MARSHALLTOWN 9TH","SF",1,"Love you?","X",,
7178,705,"MARSHALLTOWN 9TH","RB",1,"VN092","X",,
7178,705,"MARSHALLTOWN 9TH","GI",1,"FF09","X",,
7184,704,"MARSHALLTOWN","TV",1,"LEMU","X",,
7184,704,"MARSHALLTOWN","TV",2,"KHRN","X",,
7184,704,"MARSHALLTOWN","SF",1,"Story of a Lifetime","X",,
7184,704,"MARSHALLTOWN","SF",2,"Feather","X",,
7184,704,"MARSHALLTOWN","GI",1,"Nunez Varsity","X",,
7184,704,"MARSHALLTOWN","GI",2,"Levis Varsity","X",,
7184,704,"MARSHALLTOWN","GI",3,"Emerson Varsity","X",,
7229,959,"MESKWAKI SETTLEMENT","EA",1,"These Things Hidden","X",,
7229,959,"MESKWAKI SETTLEMENT","EA",2,"Orange is the New Black","X",,
7229,959,"MESKWAKI SETTLEMENT","RT",1,"The Stinky Cheese Man","X",,
7229,959,"MESKWAKI SETTLEMENT","TV",1,"KSEM","X",,
7229,959,"MESKWAKI SETTLEMENT","SF",1,"Every Day","X",,
7229,959,"MESKWAKI SETTLEMENT","RB",1,"KSEM","X",,
7229,959,"MESKWAKI SETTLEMENT","GI",1,"TKO","X",,
7229,959,"MESKWAKI SETTLEMENT","GI",2,"MADTT","X",,
